Model,Accuracy,Precision,Recall,F1,ROC AUC
Logistic Regression,0.8089887640449438,0.7833333333333333,0.6911764705882353,0.734375,0.8609625668449199
Decision Tree,0.7696629213483146,0.6901408450704225,0.7205882352941176,0.7050359712230215,0.754144385026738
Random Forest,0.8202247191011236,0.78125,0.7352941176470589,0.7575757575757576,0.8179144385026736
Tuned Random Forest,0.7921348314606742,0.7627118644067796,0.6617647058823529,0.7086614173228346,0.8221925133689839
